ui_1_hour|1 час
ui_you_have_improved_your_proficiency_in_value_to_number|Вы улучшили свое мастерство в %s до %d.
ui_you_hit_a_friendly_troop|Вы попали в дружественного воина!
ui_you_lost_value|Вы потеряли %s.
ui_your_proficiency_in_value_has_improved_by_number_to_number|Ваше мастерство в %s улучшилось на +%d до %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Ваши отношения с %s испортились с %d до %d.
ui_your_relations_with_value_has_improved_from_number_to_number|Ваши отношения с %s улучшились с %d до %d.
ui_zoom_in|Приблизить
ui_zoom_out|Отдалить
ui_zoom|Приблизить
ui_texture_detail2|Качество текстур:
ui_antialiasing2|Сглаживание:
ui_first_person_field_of_view|Поле зрения (от 1-го лица)
ui_third_person_field_of_view|Поле зрения (от 3-го лица)
ui_banner_mode|Показывать баннеры
ui_banner_outline_mode|Показать контуры баннеров
ui_dynamic_banner_transparency|Динамическая прозрачность баннеров
ui_on_group|На группе
ui_on_friendlies|На друзьях
ui_on_everyone|На всех
ui_show_multiplayer_chat|Показать чат
ui_show_multiplayer_team_chat|Показать командный чат
ui_difficulty_rating_percentage|Сложность = %d%%
ui_general_options|Общие
ui_battle_options|Битва
ui_campaign_options|Кампания
ui_multiplayer_options|Мультиплеер
ui_video_options|Графика
ui_sound_options|Звук
ui_input_options|Ввод
ui_controls|Управление
ui_maximum_framerate|Максимальная частота кадров
ui_show_framerate|Показывать частоту кадров
ui_estimated_performance|Производительность = %d%%
ui_change_reflections_explanation|Полные отражения сильно влияют на производительность. Отключите их, если у вас низкая частота кадров.
ui_report_proficiency|Сообщения о повышении мастерства
ui_abysmal|Ужасное
ui_invalid_username|Имя пользователя может содержать только буквы, числа или _ - * [ ] ~ знаки.
ui_clear|Очистить
ui_walk|Ходьба
ui_walk_toggle|Ходьба (Переключение)
ui_rear_horse|Лошадь на дыбы
ui_hide_ui|Переключить отображение интерфейса
ui_hide_tooltips|Переключить отображение подсказок
ui_listen_server_could_not_be_started|Сервер не может быть запущен. Убедитесь, что никакая другая программа не использует порт %d.
ui_water_reflections|Отражения в воде
ui_reflections_quality|Качество отражений в воде
ui_sky|Небо
ui_sky_landscape_objects|Небо, ландшафт и объекты
ui_sound_occlusion|Sound Occlusion
ui_sound_occlusion_filter|Occlusion Low-Pass Filter
ui_sound_hrtf_filter|HRTF Low-Pass Filter
ui_sound_distance_filter|Distance Low/High-Pass Filter
ui_scene_restart_required|Некоторые настройки будут применены при входе в новую сцену:
ui_game_restart_required|Некоторые настройки будут применены при перезапуске игры:
ui_weapon_trails|Следы оружия
ui_windowed|В окне
ui_gpu_skinning|GPU Skinning
ui_dynamic_batching|Динамический батчинг мешей
ui_specular_maps|Use Specular Maps
ui_normal_maps|Use Normal Maps
ui_free_look|Свободный взгляд
ui_vsync|Вертикальная синхронизация
ui_msaa|Сглаживание (MSAA)
ui_atoc|Прозрачное сглаживание (MSAA)
ui_fxaa|Сглаживание (FXAA)
ui_postprocess|Фильтр постобработки
ui_postprocess_light|Небольшая резкость
ui_postprocess_strong|Сильная резкость
ui_postprocess_color|ЗАСТАВЬ МОИ ГЛАЗА КРОВОТОЧИТЬ
ui_multiplayer_kills|Сообщения об убийствах
ui_all_kills|Все
ui_own|Свои
ui_sun_flare|Солнечный диск
ui_enable_alt_f4|Включить выход с Alt+F4
ui_invert_mouse_x_axis|Инвертировать ось X мыши
ui_enable_sound|Включить звук
ui_enable_music|Включить музыку
ui_toggle_background|Фон
ui_font_scale|Масштаб шрифта
ui_spectator_camera_controls|Контроль камеры зрителя
ui_faster_camera|Движение камеры быстрее
ui_slower_camera|Движение камеры медленнее
ui_camera_closer|Передвинуть камеру ближе
ui_camera_farther|Передвинуть камеру дальше
ui_reduce_input_lag|Reduce Framerate Limit Input Lag (экспериментально)
ui_sleep_wait|Уменьшить использование CPU (экспериментально)
ui_particle_degrade_distance|Дистанция деградации системы частиц
ui_sheath_primary_weapon|Спрятать оружие
ui_sheath_secondary_weapon|Спрятать щит
ui_drop_primary_weapon|Выбросить оружие
ui_drop_secondary_weapon|Выбросить щит
ui_screenshot_format|Формат скриншотов
ui_control_block_direction|Контроль блоков:
ui_control_block_direction_mounted|Контроль блоков верхом:
ui_control_attack_direction|Контроль атак:
ui_control_attack_direction_mounted|Контроль атак верхом:
ui_animation_quality|Качество анимации
ui_preset_change|Сменить пресет
ui_blood_amount|Количество крови
ui_beta|β
ui_partial|Частично
ui_data_file_mismatch|Ваши файлы модуля повреждены или были изменены
ui_randomize_client_port|Случайный порт клиента (рекомендуется, если вы не за брандмауэром)
ui_client_port|Порт клиента
ui_server_port|Порт сервера
ui_unable_to_bind_socket|Невозможно подключиться, порт уже используется.
ui_synchronization_error|Ошибка синхронизации
ui_dismount_horse_on_use|Спешиться с лошади кнопкой Использовать
ui_command_line|Коммандная строка
ui_maximum_game_frame_rate|Максимальная частота кадров игры
ui_maximum_render_frame_rate|Максимальная частота кадров рендера
ui_autoexp|Авто экспозиция
ui_vsync_tooltip|Предотвращает разрыв экрана, может вызвать задержку ввода\n\nСтоимость производительности: <c=0xFF0000>Высокая</c>
ui_msaa_tooltip|Сглаживает неровные края твердых предметов\n\nСтоимость производительности: <c=0xFF0000>Высокая</c>
ui_atoc_tooltip|Сглаживает неровные края полупрозрачных объектов\n\nСтоимость производительности: <c=0x00FF00>Низкая</c>
ui_fxaa_tooltip|Сглаживает неровные края, значительно размывает экран\n\nСтоимость производительности: <c=0xFFAA00>Средняя</c>
ui_anisotropic_filtering_tooltip|Уменьшает размытость на удаленных поверхностях\n\nСтоимость производительности: <c=0xFFAA00>Средняя</c>
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
ui_language|Язык:
ui_ondemand_textures|Подгружать текстуры в ходе игры
